AREA_NAME,coverage_pct,dist_to_downtown_km,bus_stops,total_daily_trips,avg_trips_per_stop,area_km2,stop_density,gap_quadrant
Fort York-Liberty Village,98.4,2.85,22,6855,311.59090909090907,2.34,9.4,Well served
West Queen West,100.0,2.31,26,6004,230.92307692307693,0.902,28.82,Well served
Humber Bay Shores,88.0,8.36,24,4066,169.41666666666666,1.578,15.21,Well served
Mimico-Queensway,45.5,10.59,78,8446,108.28205128205128,5.481,14.23,"Bus gap only
(bike-rich)"
Etobicoke City Centre,7.5,12.95,140,18004,128.6,10.135,13.81,"Bike gap only
(bus-rich)"
Islington,8.8,13.26,86,10219,118.82558139534883,6.105,14.09,"Dual gap
(bike-poor + bus-poor)"
Bendale South,0.0,15.36,31,3607,116.35483870967742,2.544,12.19,"Dual gap
(bike-poor + bus-poor)"
Caledonia-Fairbank,86.9,7.34,31,4061,131.0,1.545,20.06,Well served
Briar Hill-Belgravia,81.3,7.97,39,3823,98.02564102564102,1.828,21.33,"Bus gap only
(bike-rich)"
Oakwood Village,82.8,6.41,39,6157,157.87179487179486,2.219,17.58,Well served
