station_id,name,lat,lon,capacity,departures,member_departures,casual_departures,avg_duration_min,peak_hour_dep,arrivals,net_flow,total_activity,trips_per_dock_per_day,member_share,has_2023_trips
7106,Mill St / Tannery Rd,43.652151817184,-79.35458218097422,23,5076,319.0,4757.0,20.018482400840558,17.0,5536,460,10612,1.264,0.063,True
7107,Cherry St / Distillery Ln,43.650279,-79.356832,15,7130,331.0,6799.0,19.278316970546985,17.0,7372,242,14502,2.649,0.046,True
7109,Seaton St / Dundas St E - SMART,43.658777,-79.369596,32,8055,651.0,7404.0,12.302056693565074,18.0,6762,-1293,14817,1.269,0.081,True
7110,Queen St E / Berkeley St,43.6552778,-79.36583333333333,14,7497,484.0,7013.0,12.905346583077675,8.0,7804,307,15301,2.994,0.065,True
7111,King St W / Douro St,43.640885,-79.416379,11,12738,1368.0,11370.0,16.92298895692678,17.0,13058,320,25796,6.425,0.107,True
7112,Liberty St / Fraser Ave Green P,43.637981,-79.424146,19,7453,494.0,6959.0,17.379996869269647,17.0,7802,349,15255,2.2,0.066,True
7113,Parliament St / Aberdeen Ave,43.665278,-79.368333,15,2165,0.0,2165.0,12.717197844495766,8.0,2180,15,4345,0.794,0.0,True
7114,Carlton St / Parliament St,43.664524,-79.36793,27,20008,1814.0,18194.0,12.914616653338664,17.0,20138,130,40146,4.074,0.091,True
7115,Howard St / Sherbourne St,43.6712581,-79.376367,31,11728,843.0,10885.0,14.330721350613917,17.0,10716,-1012,22444,1.984,0.072,True
7116,Bloor St E / Parliament St,43.671946102001826,-79.37245115337294,19,58,0.0,58.0,14.279885057471265,18.0,58,0,116,0.017,0.0,True
7117,Castle Frank Subway Station,43.67418030086386,-79.36795839711793,19,4813,337.0,4476.0,16.288018560842165,8.0,4505,-308,9318,1.344,0.07,True
7118,King St W / Bay St (East Side),43.648575,-79.380042,19,12704,925.0,11779.0,14.320649664147775,17.0,11382,-1322,24086,3.473,0.073,True
7119,Sumach St / Carlton St (Riverdale Farm),43.665867,-79.362506,15,8303,804.0,7499.0,14.916198964229796,8.0,8325,22,16628,3.037,0.097,True
7120,Gerrard St E / River St,43.663993,-79.358534,11,7010,888.0,6122.0,14.89041844983357,8.0,7246,236,14256,3.551,0.127,True
7121,Jarvis St / Dundas St E,43.657266,-79.374756,27,23489,1249.0,22240.0,16.317159805298935,17.0,22536,-953,46025,4.67,0.053,True
7122,Niagara St / Tecumseth St,43.641389,-79.404444,15,4660,262.0,4398.0,14.648197424892706,8.0,4992,332,9652,1.763,0.056,True
7123,420 Wellington St W,43.643834,-79.396649,15,8206,522.0,7684.0,15.60626574051507,17.0,8458,252,16664,3.044,0.064,True
7124,Dundas St E / Broadview Ave,43.662365,-79.351104,19,9707,899.0,8808.0,15.984310291542187,8.0,10161,454,19868,2.865,0.093,True
7126,Yonge St / Yorkville Ave,43.671944,-79.387778,17,17416,1213.0,16203.0,16.940768067677233,17.0,16902,-514,34318,5.531,0.07,True
7127,Bay St / Scollard St,43.672152,-79.39018,15,6058,447.0,5611.0,14.6634175195334,17.0,5607,-451,11665,2.131,0.074,True
7128,Yonge St / Aylmer Ave,43.675492,-79.388858,23,4156,201.0,3955.0,17.552843278793713,17.0,3240,-916,7396,0.881,0.048,True
7129,Davenport Rd / Avenue Rd,43.674991,-79.396273,11,9802,721.0,9081.0,16.378232333537373,18.0,9573,-229,19375,4.826,0.074,True
7130,Davenport Rd / Bedford Rd,43.674446,-79.398331,15,8578,436.0,8142.0,13.45665073443693,17.0,8436,-142,17014,3.108,0.051,True
7131,Taddle Creek Park,43.66986,-79.398443,15,9920,692.0,9228.0,13.91152553763441,17.0,9483,-437,19403,3.544,0.07,True
7132,Kendal Ave / Spadina Rd,43.670318,-79.405181,9,4451,223.0,4228.0,13.017853665842882,8.0,4245,-206,8696,2.647,0.05,True
7133,Summerhill Subway Station,43.68201189061227,-79.39130701852416,11,5651,403.0,5248.0,16.444189818911106,17.0,5487,-164,11138,2.774,0.071,True
7135,Hanna Ave / Liberty St,43.638608601636705,-79.41965437361068,35,11520,556.0,10964.0,24.26107638888889,17.0,12315,795,23835,1.866,0.048,True
7137,Davenport Rd / Bathurst St,43.676667,-79.416111,15,3252,240.0,3012.0,17.265769782697827,17.0,2453,-799,5705,1.042,0.074,True
7138,Davenport Rd / Christie St,43.675278,-79.423889,27,4180,284.0,3896.0,18.814477671451353,8.0,3118,-1062,7298,0.741,0.068,True
7139,Glen Edyth Dr / Davenport Rd,43.677778,-79.405556,15,3991,273.0,3718.0,15.972442161530111,8.0,3796,-195,7787,1.422,0.068,True
7140,Macpherson Ave / Spadina Rd,43.675791,-79.40698,15,7521,419.0,7102.0,15.514625714665604,18.0,7250,-271,14771,2.698,0.056,True
7141,Bridgman Ave / Kendal Ave,43.675556,-79.410278,15,5589,433.0,5156.0,16.82546072642691,14.0,4849,-740,10438,1.906,0.077,True
7142,Bridgman Ave / Bathurst St,43.674444,-79.414722,15,3155,170.0,2985.0,17.60756999471738,17.0,3038,-117,6193,1.131,0.054,True
7143,Kendal Ave / Bernard Ave,43.671513,-79.408317,15,8699,698.0,8001.0,13.811746560907384,8.0,8555,-144,17254,3.151,0.08,True
7144,Palmerston Ave / Vermont Ave,43.671389,-79.416389,15,4599,321.0,4278.0,16.2815249691962,8.0,4406,-193,9005,1.645,0.07,True
7146,Christie St / Benson Ave (Wychwood Barns),43.68,-79.42500000000001,19,4242,342.0,3900.0,18.188877101995914,8.0,2592,-1650,6834,0.985,0.081,True
7147,King St W / Fraser Ave,43.6394444,-79.42527777777778,15,3052,158.0,2894.0,20.23043359545653,17.0,3782,730,6834,1.248,0.052,True
7148,King St W / Joe Shuster Way,43.639444,-79.423611,23,18678,1179.0,17499.0,17.945025341756793,17.0,19279,601,37957,4.521,0.063,True
7149,Yarmouth Rd / Christie St,43.67,-79.42083333333333,11,4122,353.0,3769.0,13.426944848778911,8.0,3917,-205,8039,2.002,0.086,True
7150,Dufferin St / Sylvan Av (Dufferin Grove Park),43.6555556,-79.43361111111112,19,9612,556.0,9056.0,16.827633860452213,18.0,9820,208,19432,2.802,0.058,True
7151,Essex St / Christie St,43.6686111,-79.42027777777778,18,5758,480.0,5278.0,15.303210026629616,18.0,5181,-577,10939,1.665,0.083,True
7152,Ossington Ave / Bloor St W,43.66171041271702,-79.42559160724657,11,7984,502.0,7482.0,14.627221108884436,20.0,7539,-445,15523,3.866,0.063,True
7153,Bloor St W / Christie St,43.6638889,-79.41888888888889,19,15234,790.0,14444.0,16.03365060610039,18.0,14741,-493,29975,4.322,0.052,True
7154,Bathurst Subway Station,43.6666667,-79.41166666666668,23,8330,610.0,7720.0,14.246180472188875,17.0,7412,-918,15742,1.875,0.073,True
7155,Bathurst St / Lennox St,43.663808,-79.410491,19,11737,754.0,10983.0,14.669898611229446,18.0,11146,-591,22883,3.3,0.064,True
7156,Salem Ave / Bloor St W,43.6608333,-79.43166666666667,15,7395,435.0,6960.0,16.78608068514762,18.0,6982,-413,14377,2.626,0.059,True
